"","iso3","area_name","kp","lower","median","upper","source"
"1","AGO","Angola","FSW",0.0107064147630707,0.0240146159208333,0.0566714842739385,"Full data"
"2","BDI","Burundi","FSW",0.0105175094349331,0.0235969931986747,0.0511830714410784,"Full data"
"3","BEN","Benin","FSW",0.00490608688432779,0.0084660707724446,0.0145536697394796,"Full data"
"4","BFA","Burkina Faso","FSW",0.00530890521274165,0.0107636062648423,0.0219577819516976,"Full data"
"5","CIV","Cote d'Ivoire","FSW",0.00330171007412571,0.00527460539325477,0.00834608190041713,"Full data"
"6","CMR","Cameroon","FSW",0.0110383329547364,0.0142871463505526,0.0190100885725792,"Full data"
"7","COD","Democratic Republic of The Congo","FSW",0.00665951231374394,0.0128455782958406,0.0275362618914366,"Full data"
"8","COG","Congo","FSW",0.0174949411992247,0.0392051523152998,0.0806741476765614,"Full data"
"9","ETH","Ethiopia","FSW",0.00365358020381184,0.00588188059642592,0.00948173864591847,"Full data"
"10","GHA","GHANA","FSW",0.00378448974082556,0.00666044916497072,0.0122397310309498,"Full data"
"11","GIN","Guinea","FSW",0.00548988842834766,0.0127146273866848,0.0302123652240988,"Full data"
"12","GMB","The Gambia","FSW",0.00366727951659958,0.014240418107131,0.052607314780082,"Full data"
"13","KEN","Kenya","FSW",0.0048290820178742,0.00692247669250531,0.00998483742528996,"Full data"
"14","LBR","Liberia","FSW",0.0603949052320745,0.106906551356077,0.185539341227611,"Full data"
"15","LSO","Lesotho","FSW",0.00910620152400883,0.0207323988720917,0.0481437170890468,"Full data"
"16","MLI","Mali","FSW",0.00391624958220861,0.00608716266987863,0.00965627319732826,"Full data"
"17","MOZ","Mozambique","FSW",0.0118551431032942,0.0253072368514323,0.0555715077306361,"Full data"
"18","MWI","Malawi","FSW",0.00533648939900481,0.00886351372490817,0.0147332781646661,"Full data"
"19","NAM","Namibia","FSW",0.0157558732433001,0.0266139877018558,0.0456150431569995,"Full data"
"20","NER","Niger","FSW",0.00100771802082935,0.00143073728003648,0.00195806999439979,"Full data"
"21","NGA","Nigeria","FSW",0.0118716689756324,0.0162555056670518,0.0228547836058107,"Full data"
