"","iso3","area_name","kp","lower","median","upper"
"1","AGO","Angola","FSW",0.0137779651721769,0.0263980404885057,0.0512931439078501
"2","BDI","Burundi","FSW",0.00995954699433041,0.0205939373719705,0.0406339712176205
"3","BEN","Benin","FSW",0.0040476015561169,0.00669104510501466,0.0109375584514481
"4","BFA","Burkina Faso","FSW",0.00530772685843816,0.00909032866675807,0.0155318807909221
"5","BWA","Botswana","FSW",0.0107289239097262,0.0178044088350836,0.0314403680888175
"6","CAF","Central African Republic","FSW",0.00551823032053709,0.0174986226913701,0.0536804720393704
"7","CIV","Côte d’Ivoire","FSW",0.00409653328123038,0.00593284669042988,0.0088174319603154
"8","CMR","Cameroon","FSW",0.0119374431883304,0.0151365401121813,0.0188886392806593
"9","COD","Congo - Kinshasa","FSW",0.0102200734880163,0.0188306143454959,0.0359024857134566
"10","COG","Congo - Brazzaville","FSW",0.0119419227497429,0.0222694465570143,0.0414256428608264
"11","ETH","Ethiopia","FSW",0.00376976289835207,0.00575584393482355,0.00854150639962551
"12","GAB","Gabon","FSW",0.00412503759281598,0.017617832946812,0.0742025732724142
"13","GHA","Ghana","FSW",0.00387858212987186,0.00630054384515092,0.0106458493713179
"14","GIN","Guinea","FSW",0.00311917203393871,0.00696295007566754,0.0163340037232093
"15","GMB","Gambia","FSW",0.00283301107247084,0.0117922897951066,0.0507637584878866
"16","GNB","Guinea-Bissau","FSW",0.00134956603359149,0.00774399681333499,0.040446304872089
"17","GNQ","Equatorial Guinea","FSW",0.00292106440038089,0.0165671666232419,0.0836282390956715
"18","KEN","Kenya","FSW",0.00663663778268971,0.011580053733343,0.0205579510269115
"19","LBR","Liberia","FSW",0.00240997586590997,0.0103116437148492,0.0437163264162421
"20","LSO","Lesotho","FSW",0.0117234308913482,0.0226195513507968,0.044031236441093
"21","MLI","Mali","FSW",0.00426747535648914,0.00609551847950953,0.0087024996506934
"22","MOZ","Mozambique","FSW",0.0133425389014453,0.022824487752194,0.040029113794162
"23","MWI","Malawi","FSW",0.00597938609609275,0.00933780871082898,0.0142611423236066
"24","NAM","Namibia","FSW",0.0184118615227214,0.0294914983007611,0.0471331646151124
"25","NER","Niger","FSW",0.00652370631618845,0.0116300802489887,0.0198692475775658
"26","NGA","Nigeria","FSW",0.0113281256940876,0.0150260942616677,0.0197055835706116
"27","RWA","Rwanda","FSW",0.00276064320106825,0.00501480651725166,0.00853565136840761
"28","SEN","Senegal","FSW",0.00420252544306597,0.00795971173448031,0.0146597854577353
"29","SLE","Sierra Leone","FSW",0.00751724516751226,0.0278819706919723,0.112779216050873
"30","SSD","South Sudan","FSW",0.00201966763367487,0.0123549799452765,0.0875735317602289
"31","SWZ","Eswatini","FSW",0.0162650883788573,0.0290787695542643,0.0510256532809989
"32","TCD","Chad","FSW",0.00396485370398667,0.0139615449060152,0.047182912260433
"33","TGO","Togo","FSW",0.00310586445495138,0.00675838815046057,0.0137472165661952
"34","TZA","Tanzania","FSW",0.0074825463083103,0.0117991531446577,0.0182092595124272
"35","UGA","Uganda","FSW",0.00564186510454653,0.00875143131054813,0.013120445365709
